"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.525678128E2,-2.312014797E0,1.482581628E-1,2.378309358E0
1.525878008E2,-1.611080990E0,-4.245560594E-1,2.400924050E0
1.526077898E2,-1.604579471E0,-8.255482782E-1,9.608372802E-1
1.526277778E2,-9.131970906E-1,-1.001556340E0,3.660655206E-1
1.526477658E2,-5.452750790E-1,-9.422994138E-1,3.120951355E-2
1.526677538E2,-1.745589169E0,-9.473157401E-1,2.319473505E-2
1.526877418E2,-1.836904551E0,-6.530492038E-1,-5.288981974E-1
1.527077298E2,-1.835184885E0,-7.057302779E-1,-1.541766926E0
1.527277178E2,-4.575276679E-1,-4.499530751E-1,-1.454207795E0
1.527477058E2,-4.657435906E-1,-5.298177452E-1,-1.634217837E0
1.527676938E2,-1.237491272E0,-5.724387944E-1,-1.218971386E0
1.527876818E2,-1.614359524E0,-4.720043871E-1,-7.829293120E-1
1.528076698E2,-1.797817084E0,-6.090252613E-1,1.273715358E0
1.528276578E2,-1.651768255E0,-7.132218768E-1,1.948830199E0
1.528476458E2,-1.755308411E0,-8.388680892E-1,2.138389914E0
1.528676338E2,2.812101424E-2,-1.082687626E0,8.703627276E-1
1.528876218E2,1.394463285E0,-8.480328689E-1,5.773833096E-1
1.529076098E2,1.738946732E0,-7.151881492E-1,7.281549346E-1
1.529275978E2,2.291035572E0,-4.444664134E-1,1.177629598E-1
1.529475858E2,3.137142295E-1,-4.317144035E-1,-3.932123888E-1
1.529675738E2,-1.834715354E0,-6.122445007E-2,-1.030406867E0
1.529875628E2,-1.221569889E0,1.159396883E-1,-1.413542165E0
1.530075508E2,-1.340756024E0,5.807581398E-1,-5.519233632E-1
1.530275388E2,2.982629621E-1,6.338513330E-1,-1.774688423E-1
1.530475268E2,1.017088664E0,4.901770583E-1,-4.794570655E-1
1.530675148E2,2.497936374E-1,6.607704520E-1,-7.709711713E-1
1.530875028E2,3.351577234E-1,6.428323638E-1,-1.206462438E0
1.531074908E2,1.830634582E0,2.860819511E-1,-1.357499526E0
1.531274788E2,-2.414790722E0,1.357525400E0,-2.815492809E-1
1.531474668E2,-2.343791490E0,9.730975027E-1,-6.046137929E-2
1.531674548E2,2.985467860E0,-1.648845744E-1,-1.562071967E0
1.531874428E2,3.712660342E0,5.255873943E-2,-1.268480930E0
1.532074308E2,9.405193752E-1,5.936208813E-1,-9.101261330E-1
1.532274188E2,2.108038187E0,-1.874674714E-1,-1.676997821E0
1.532474068E2,1.753287029E0,-4.106062839E-1,-1.744272376E0
1.532673948E2,1.157073931E0,-4.623458467E-1,-1.028070320E0
1.532873828E2,3.277730409E0,-2.547301127E-1,-2.185689394E-1
1.533073708E2,2.400457442E-2,-1.498203854E0,1.256256741E0
1.533273588E2,2.634252512E-1,-1.685927104E0,2.344372703E0
1.533473471E2,6.103154129E-1,-9.828408643E-1,2.645011389E0
1.533673361E2,-5.357610744E-1,-6.141242892E-1,2.914515991E0
1.533873241E2,-1.883341969E0,-2.918398688E-1,2.923845223E0
1.534073121E2,-2.926075351E-1,-2.966671108E-1,2.528571106E0
1.534273001E2,-7.600690377E-1,-4.703824791E-1,2.013859423E0
1.534472881E2,4.862076759E-2,-1.157956056E0,9.624903611E-1
1.534672761E2,2.034842741E-1,-1.796076514E0,-1.676572144E-1
1.534872641E2,-1.968962163E-1,-1.772743931E0,-5.535090550E-1
1.535072521E2,-8.992234147E-1,-1.453343577E0,-1.193587453E0
1.535272401E2,-2.084297907E0,-8.033048851E-1,-1.320964369E0
1.535472281E2,-3.261085725E-1,-8.717368964E-1,-1.642529655E0
1.535672161E2,3.663958883E-1,-9.023876354E-1,-1.792812452E0
1.535872041E2,-8.787628376E-1,-9.298654559E-1,-1.258183984E0
1.536071921E2,5.840158063E-1,-1.200763376E0,-8.567901707E-1
1.536271801E2,-4.303229123E-1,-1.034886565E0,-7.808640754E-1
1.536471681E2,-1.392161236E0,-9.407875431E-1,-7.949652207E-1
1.536671561E2,-2.125298583E0,-1.450163569E-1,-3.246403366E-1
1.536871441E2,3.863079380E0,5.221856669E-1,-9.580405569E-1
1.537071321E2,2.036061886E0,1.039313639E0,-8.106434331E-1
1.537271201E2,7.573594379E-1,1.019634030E0,-1.375773098E-1
1.537471091E2,4.354684621E-1,7.323435876E-1,-3.784505081E-1
1.537670971E2,1.246217072E-1,6.912414622E-1,-9.232817104E-1
1.537870851E2,-7.773113072E-1,7.663460237E-1,-7.402352822E-1
1.538070731E2,2.834934801E-1,8.021162923E-1,-3.948922207E-1
1.538270611E2,2.089011347E-1,8.775764376E-1,9.454326443E-3
1.538470491E2,1.079175569E0,8.374357407E-1,2.443989962E-1
1.538670371E2,5.847671735E-1,4.594220561E-1,2.845348509E-1
1.538870251E2,1.278459204E0,-5.719468243E-1,4.322835934E-1
1.539070131E2,4.781616148E0,-1.745950381E0,1.056361561E0
1.539270011E2,7.756822729E-1,-3.710110591E-1,2.266652390E0
1.539469891E2,1.408253358E0,-9.063695893E-3,3.846629409E0
1.539669771E2,6.240791738E-1,9.711560078E-2,3.814105149E0
1.539869651E2,2.109383047E-2,6.162512138E-2,3.289520735E0
1.540069531E2,-8.006481296E-1,1.596054157E-1,2.870734086E0
1.540269411E2,-2.334558737E0,3.068033322E-1,2.694964153E0
1.540469291E2,-3.351763176E0,1.405910744E-1,2.452425302E0
1.540669171E2,-3.958630486E0,-3.784368403E-1,2.045547532E0
1.540869051E2,-3.018528017E0,-1.091930539E0,1.422024282E0
1.541068931E2,-1.916623735E-1,-1.610023813E0,1.290177901E-1
1.541268821E2,7.739959359E-2,-1.721944199E0,1.266414524E0
1.541468701E2,9.137490678E-1,-1.871916217E0,-1.009083241E-1
1.541668581E2,4.109996188E-1,-1.896986739E0,-1.032422403E0
1.541868461E2,-5.809214598E-1,-1.683571992E0,-1.466740133E0
1.542068341E2,-1.589118263E0,-1.560926205E0,-1.669417491E0
1.542268221E2,-2.013279964E0,-1.354370389E0,-1.943974233E0
1.542468101E2,-1.496757984E0,-1.336754336E0,-2.049841142E0
1.542667981E2,-2.311206127E0,-8.517337909E-1,-2.411001726E0
1.542867861E2,-2.754055529E0,-4.899413789E-1,-1.925074131E0
1.543067741E2,-3.265652985E0,1.625505486E-1,-1.522146594E0
1.543267621E2,-1.840214660E0,2.159833737E-1,-1.051195619E0
1.543467496E2,-1.858538080E0,4.328915211E-1,-9.957738090E-1
1.543667376E2,-1.429450099E0,5.396116121E-1,-1.025752995E0
1.543867256E2,7.469443774E-1,4.019937372E-1,-8.595336843E-1
1.544067136E2,2.062528723E0,4.395443369E-1,-4.321337950E-1
1.544267016E2,2.209354647E0,6.468421651E-1,-7.131006932E-1
1.544466896E2,1.900926885E0,6.528259863E-1,-8.250457100E-1
1.544666776E2,1.217942861E0,1.032607905E0,-6.087114485E-1
1.544866656E2,1.731233085E0,1.202505773E0,-2.710359871E-1
1.545066546E2,1.794510484E0,1.218953844E0,-1.363921523E-1
1.545266426E2,1.182424534E0,1.223259003E0,-2.804604562E-1
1.545466306E2,5.626945192E-1,1.151569800E0,-3.314311467E-2
1.545666186E2,4.408198339E-1,1.003455589E0,4.292689517E-2
1.545866066E2,8.478217113E-1,7.059738875E-1,2.602455354E-1
1.546065946E2,1.410906824E0,3.200236675E-1,5.194235153E-1
1.546265826E2,1.191757275E0,2.957956564E-2,5.893771914E-1
1.546465706E2,1.133096838E0,-2.334001095E-1,6.287569463E-1
1.546665586E2,9.754149735E-1,-4.758624166E-1,6.171597250E-1
1.546865466E2,7.363550699E-1,-7.276637685E-1,4.853130519E-1
1.547065346E2,6.481200010E-1,-8.918307799E-1,3.771572137E-1
1.547265226E2,6.101937908E-1,-9.394453879E-1,2.818007112E-2
1.547465106E2,7.398961437E-1,-9.235777257E-1,1.403682590E-1
1.547664986E2,6.851895940E-1,-8.527180966E-1,1.663439298E-1
1.547864866E2,7.831971145E-1,-7.016716524E-1,1.934376065E-1
1.548064746E2,9.274666357E-1,-6.368777056E-1,1.271512127E-1
1.548264626E2,1.052478937E0,-6.789973927E-1,-1.319424212E-2
1.548464506E2,6.756288117E-1,-6.461515358E-1,-5.104034543E-1
1.548664386E2,1.085073656E-1,-5.233222195E-1,-7.887537235E-1
1.548864276E2,-3.598142624E-1,-4.039352321E-1,-8.530614743E-1
1.549064156E2,-4.851750576E-1,-2.931350271E-1,-9.758804850E-1
1.549264036E2,-3.945262581E-1,-1.976684873E-1,-1.028309471E0
1.549463916E2,-1.622916924E0,-2.576874516E-1,-8.700575030E-1
1.549663796E2,-2.450510193E0,-1.099878806E-1,-6.861824512E-1
1.549863676E2,-3.635599887E-1,-3.385048158E-1,-1.389041162E0
1.550063556E2,-6.712562639E-1,-3.335795234E-1,-7.585750741E-1
1.550263436E2,-4.816439241E-1,-2.675033370E-1,-5.926802105E-1
1.550463316E2,-1.566112393E0,9.996493983E-2,-4.430335897E-1
1.550663196E2,-2.353456938E0,4.278801649E-1,-2.482645905E-1
1.550863076E2,-2.753164414E0,5.435782901E-1,-9.614810586E-2
1.551062956E2,-7.938723761E-1,2.626916815E-1,-1.592196822E-1
1.551262836E2,1.329949200E-1,1.652414373E-1,-1.625853395E-1
1.551462716E2,-4.066832042E-1,3.273092982E-1,-6.849313298E-2
1.551662596E2,-1.207198602E-1,4.012241706E-1,5.086610754E-2
1.551862476E2,-4.969314694E-2,4.178381567E-1,-8.534129103E-2
1.552062356E2,7.396318495E-2,4.688316514E-1,-8.888936321E-2
1.552262236E2,5.326866084E-1,3.787998793E-1,-6.420124928E-2
1.552462116E2,5.986712676E-1,3.114380546E-1,-1.720215762E-1
1.552661996E2,-7.862750888E-2,3.480922030E-1,-1.734857190E-1
1.552861886E2,3.455377007E-1,3.113675956E-1,-3.679997796E-1
1.553061766E2,7.968088478E-1,3.534739803E-1,-3.625437427E-1
1.553261646E2,1.068890902E0,3.808977140E-1,-3.722974831E-1
1.553461533E2,9.753003681E-1,4.370777620E-1,-4.066931444E-1
1.553661413E2,5.417030150E-1,4.872740619E-1,-2.406509310E-1
1.553861293E2,2.516214770E-1,4.766514252E-1,-2.141876024E-1
1.554061173E2,1.659001261E-1,3.745404750E-1,-6.852235079E-2
1.554261053E2,7.450791156E-1,3.062929434E-1,1.270639722E0
1.554460933E2,1.355910838E-2,4.368859734E-1,1.729999323E0
1.554660813E2,2.576908869E-1,4.095151569E-1,2.774387248E-1
1.554860693E2,-5.021267205E-1,-4.771085313E-1,1.871156152E-1
1.555060573E2,8.068163574E-2,-8.014467131E-1,1.851505634E0
1.555260453E2,-2.763101757E-1,-6.016482313E-1,2.408351329E0
1.555460333E2,-1.432626307E-1,-4.510457370E-1,1.376307095E0
1.555660213E2,8.242761433E-1,-2.749644390E-1,-6.071982622E-2
1.555860093E2,2.609700054E-1,-1.371334331E-1,-6.321635342E-1
1.556059973E2,3.518445075E-1,-4.115771775E-1,-7.506257844E-1
1.556259853E2,5.993062752E-1,-5.912121208E-1,3.943725129E-1
1.556459743E2,7.767195690E-1,-6.386361095E-1,1.661434872E0
1.556659623E2,-1.232499504E-1,-9.256946370E-2,2.339434730E0
1.556859503E2,-3.396209031E-1,1.126388620E-1,1.625937595E0
1.557059383E2,2.413724774E-1,8.602569848E-2,-1.997405212E-2
1.557259263E2,5.865266007E-1,2.036212452E-1,-1.191167876E0
1.557459143E2,1.086961137E0,9.771837562E-2,-1.559131987E0
1.557659023E2,5.429800469E-1,5.397316262E-2,-8.249398023E-1
1.557858903E2,-1.062748986E-1,-1.149067046E-1,-1.653698202E-1
1.558058783E2,-4.119737649E-1,-9.618333533E-2,-3.876590688E-2
1.558258663E2,-7.016658783E-5,-2.286533216E-1,-2.035175302E-1
1.558458543E2,3.640762979E-1,-2.774433661E-1,-4.721469495E-1
1.558658423E2,1.354536742E-1,1.426415102E-1,-4.344500233E-1
1.558858303E2,4.812661940E-1,4.188515523E-1,-8.230371183E-1
1.559058183E2,2.065236568E-1,7.361530486E-1,-1.687719276E0
1.559258063E2,3.104000276E-1,8.059307966E-1,-2.320239052E0
1.559457943E2,1.171872649E0,6.700138767E-1,-1.650142291E0
1.559657823E2,8.108263779E-1,6.414322481E-1,-8.781097037E-1
1.559857703E2,1.145546145E0,4.253865467E-1,-7.794589895E-1
1.560057583E2,1.049600353E0,2.382983769E-1,-1.094077052E0
1.560257463E2,1.041965643E0,3.215288870E-2,-1.258638897E0
1.560457352E2,9.928700817E-1,-1.633099557E-1,-1.196205690E0
1.560657233E2,-5.358739257E-1,-1.575742757E-1,-1.009032444E0
1.560857113E2,-1.537390285E0,-6.385817304E-3,-7.718330508E-1
1.561056993E2,8.139967382E-1,-7.276650842E-1,-3.334608980E-1
1.561256872E2,5.586423987E-1,-3.917720734E-1,7.747724462E-1
1.561456753E2,-8.144867349E-1,-2.380276508E-1,6.935581291E-1
1.561656633E2,2.850570256E-1,-6.782093342E-1,-6.316279292E-2
1.561856513E2,-7.730609661E-1,-2.241630985E-1,8.169729710E-3
1.562056392E2,-1.254721847E0,-1.613963813E-1,1.190166028E-1
1.562256273E2,-9.188870162E-1,-2.920889602E-1,4.367670556E-1
1.562456153E2,-7.371122843E-1,-5.462982321E-1,8.232610667E-1
1.562656033E2,-4.631521046E-1,-7.432628243E-1,9.974741062E-1
1.562855912E2,-1.115625358E-1,-6.649611515E-1,1.090726744E0
1.563055793E2,3.752017951E-1,-7.763324833E-1,1.237809653E0
1.563255673E2,7.744578660E-1,-1.028684716E0,1.147147770E0
1.563455550E2,5.866692728E-1,-1.317756586E0,8.444209707E-1
1.563655430E2,-1.524515301E-1,-1.202612046E0,5.480501676E-1
1.563855310E2,-4.120094329E-1,-8.730153170E-1,4.745658696E-1
1.564055190E2,4.249171615E-2,-7.544131722E-1,5.637933572E-1
1.564255080E2,-2.091315150E-2,-4.466320393E-1,5.914072716E-1
1.564454960E2,-7.503585666E-1,3.508424409E-2,6.282214145E-1
1.564654840E2,-9.090560925E-1,3.628401965E-1,6.863660538E-1
1.564854720E2,-3.000019240E-1,3.932799972E-1,6.857860100E-1
1.565054600E2,6.337118769E-1,3.744384411E-1,4.045314288E-1
1.565254480E2,5.483156312E-1,8.879845545E-1,2.807610762E-1
1.565454360E2,4.517722535E-1,1.151773795E0,2.191208982E-1
1.565654240E2,3.493845838E-1,1.151267353E0,1.503126186E-1
1.565854120E2,1.470668292E-1,1.055544120E0,-1.097933510E-2
1.566054000E2,-2.841021752E-1,8.811326411E-1,-1.022356786E-1
1.566253880E2,1.093359160E-1,6.410551757E-1,-3.075501313E-1
1.566453760E2,5.313557822E-1,2.953020052E-1,-5.077206787E-1
1.566653640E2,4.664516884E-1,2.120579734E-1,-4.618821259E-1
1.566853520E2,-2.654337698E-1,2.157257125E-1,-4.238488021E-1
1.567053400E2,2.303101301E-1,5.434489936E-2,-5.773510768E-1
1.567253280E2,3.644470114E-1,-4.776513722E-2,-6.685156739E-1
1.567453160E2,-2.000426030E-1,-2.253693425E-1,-6.368249345E-1
1.567653040E2,1.421557528E-1,-5.738605084E-1,-2.910118300E-1
1.567852930E2,-2.892793000E-2,-7.742671736E-1,-1.080881202E-1
1.568052810E2,-7.276935893E-1,-6.634112739E-1,-1.018235047E-2
1.568252690E2,-5.222738868E-1,-6.998583578E-1,-2.107044160E-1
1.568452570E2,1.597827691E-1,-8.261496643E-1,-1.811560599E-1
1.568652450E2,3.552493411E-1,-8.501576740E-1,-1.292690742E-1
1.568852330E2,2.262761360E-1,-8.559812084E-1,-1.975926562E-1
1.569052210E2,1.223266751E-1,-9.240305925E-1,-1.114771664E-1
1.569252090E2,8.015597105E-2,-9.683271249E-1,-3.988970518E-3
1.569451970E2,-3.464165372E-1,-9.323062299E-1,5.741622247E-2
1.569651850E2,-5.163915879E-1,-7.477876921E-1,2.955942198E-1
1.569851730E2,4.726029593E-1,3.192184328E-1,1.097498916E0
1.570051610E2,1.124628316E0,1.642327926E0,1.399092525E0
1.570251490E2,9.502748698E-1,2.173127053E0,1.053640194E0
1.570451370E2,3.830464196E-1,1.168575331E0,1.467686943E-1
1.570651250E2,-4.233477688E-1,2.001189092E-1,-3.080535400E-1
1.570851130E2,-7.024727941E-1,-8.574263477E-1,1.195382110E-1
1.571051010E2,-1.392491019E-1,2.015109850E-1,2.067462165E-2
1.571250890E2,-1.638559395E-1,-4.577458421E-1,-1.543278651E-1
1.571450770E2,2.103921747E-1,-1.975098816E-1,-8.949982166E-2
1.571650650E2,4.481990200E-1,7.716829236E-1,-9.796658993E-2
1.571850540E2,3.784434915E-1,1.403371591E-1,1.908858633E-1
1.572050420E2,-4.884915984E-1,4.531906053E-1,1.022023129E-1
1.572250300E2,-7.797466725E-1,6.850897528E-2,1.452694317E-1
1.572450180E2,-1.445408320E-1,-2.260146924E-1,-4.505974017E-2
1.572650060E2,3.347063184E-1,-3.688764234E-1,-1.815431090E-1
1.572849940E2,5.505065829E-1,-5.335476840E-1,6.477549154E-2
1.573049820E2,3.123261005E-1,-5.214290372E-1,2.866820399E-1
1.573249700E2,4.241979539E-2,-4.932238596E-1,2.518408207E-1
1.573449584E2,-6.394754773E-1,-3.498078126E-1,3.868471098E-1
1.573649464E2,-1.294752470E0,-1.939541166E-1,-3.837223577E-1
1.573849344E2,-8.142493379E-1,-1.588401248E-1,-1.128321929E0
1.574049224E2,-1.192147869E-1,-9.801833779E-3,4.751220860E-2
1.574249104E2,1.615193921E-1,-7.182542464E-2,2.721177220E-2
1.574448984E2,6.416237444E-1,-5.559457725E-2,-4.051722106E-1
1.574648864E2,-2.375706178E-1,1.866832867E-1,-2.786514008E-1
1.574848744E2,6.024953467E-1,1.054559961E-2,2.133507928E-1
1.575048624E2,6.797323877E-1,5.190679315E-2,1.408032918E-1
1.575248504E2,2.736005759E-1,1.456114938E-1,-3.237672012E-1
